,80%
MNXM1001_c,1.8179680409957655e-06
MNXM1001_e,1.8179680409957655e-06
MNXM10053_e,0.0
MNXM100_c,0.0
MNXM100_x,0.0007747593346285383
MNXM1013_c,7.452345653291559e-05
MNXM1013_e,7.452345653291559e-05
MNXM1014_e,0.0
MNXM1024_m,0.007578882171791702
MNXM1028_c,0.010577272837914112
MNXM1028_m,0.009935239409490267
MNXM1028_r,0.0004308656217517637
MNXM1028_x,0.009935239409490267
MNXM10347_c,500.0
MNXM10347_e,500.0
MNXM1034_m,0.0006818223670713492
MNXM103_c,500.00488852679297
MNXM103_e,0.0006005703599653636
MNXM103_l,500.00178435710166
MNXM103_m,1000.0017901733506
MNXM103_r,1000.0083471898283
MNXM1043_c,0.00021923077075873483
MNXM1043_e,0.00021923077075873483
MNXM10441_e,0.0
MNXM1051_c,500.00472334810155
MNXM1055_r,0.0
MNXM105630_c,0.02802774291542092
MNXM105630_m,0.02583670198198632
MNXM105848_e,0.0
MNXM10631_n,0.0
MNXM10720_e,0.0
MNXM1083_c,0.0029803502125105297
MNXM1084_c,0.0029803502125105297
MNXM108_c,500.01277185513925
MNXM108_e,0.011253621534926907
MNXM108_r,500.0002154328109
MNXM108_x,0.0013131813096591036
MNXM10930_c,500.00443755105806
MNXM10930_e,500.0004909549746
MNXM10_c,2500.123061679795
MNXM10_m,0.1570171820239109
MNXM10_r,0.0015337173250029228
MNXM10_x,0.006064726976615641
MNXM1106_c,0.001593006609610702
MNXM1106_m,0.0
MNXM11120_e,0.0
MNXM111_c,0.003945919908951775
MNXM111_e,500.00164569227104
MNXM111_m,0.001963278212319079
MNXM1123_e,0.0
MNXM1131_c,500.0
MNXM113_c,1000.0162684248647
MNXM113_e,0.0
MNXM113_g,500.00004271948325
MNXM113_m,0.0
MNXM113_n,500.0
MNXM114070_c,0.0042560967524423185
MNXM114072_m,0.22372879258508896
MNXM114087_m,0.0015930066095961593
MNXM11408_g,0.0
MNXM114091_m,0.032551354785022954
MNXM114114_c,7.452345653291559e-05
MNXM114114_e,7.452345653291559e-05
MNXM114141_m,0.0
MNXM114230_e,0.0
MNXM11427_e,0.0
MNXM11428_e,0.0
MNXM114412_c,0.00017144842087058007
MNXM114412_e,0.0
MNXM114515_r,0.0
MNXM114515_x,0.0
MNXM11476_c,0.00021923077075873483
MNXM11476_e,0.00021923077075873483
MNXM11479_m,0.0004033383592359201
MNXM11480_m,0.0004033383592359201
MNXM114_c,500.05021661387224
MNXM114_e,0.07276256659844049
MNXM114_l,0.00039162727352959337
MNXM114_m,500.06510270957006
MNXM11520_e,0.0
MNXM1154_c,500.002787902124
MNXM1154_m,500.0
MNXM1155_e,0.0
MNXM11615_g,0.0
MNXM11616_g,0.0
MNXM11629_e,0.0
MNXM11641_g,0.0
MNXM11643_g,0.0
MNXM11645_g,0.0006825083470408824
MNXM11646_g,0.0006825083470408823
MNXM11679_g,0.0
MNXM11714_c,0.0
MNXM11715_c,0.0
MNXM11716_e,0.0
MNXM11717_e,0.0
MNXM11725_e,0.0
MNXM11730_g,0.00015771120395097232
MNXM11731_g,0.00015771120395097194
MNXM117467_e,0.0
MNXM117_c,0.007207067685271795
MNXM117_e,0.005755007403251966
MNXM117_m,0.0029041205640561694
MNXM11807_c,500.0
MNXM11807_r,500.0
MNXM1180_c,2.2672847185341386e-05
MNXM11834_l,0.0016739183258040235
MNXM1183_e,0.0
MNXM11843_e,0.0
MNXM11849_g,0.0
MNXM118_c,500.00171349936574
MNXM118_e,0.0
MNXM118_m,500.00060908006895
MNXM1197_c,3.0784989348831004e-06
MNXM1197_e,3.0784989348831004e-06
MNXM11999_l,0.0013916680453358757
MNXM119_c,0.0023237706997914012
MNXM119_e,0.004862400351507262
MNXM11_c,1500.067925129032
MNXM11_e,0.0029450004204202565
MNXM11_m,500.0347278695636
MNXM11_n,500.00264958853614
MNXM11_r,0.002929087443204138
MNXM11_x,500.0017742566959
MNXM12000_l,0.0013916680453358757
MNXM12001_l,0.0013916680453358757
MNXM12002_l,0.0014308626132054432
MNXM12003_l,0.0014308626131775562
MNXM12004_l,3.919456786956809e-05
MNXM12005_l,3.919456786956809e-05
MNXM12006_l,3.919456786956798e-05
MNXM12007_g,0.00017357454187872496
MNXM12009_g,0.0001735745418787247
MNXM12011_g,0.0
MNXM12012_g,0.00017357454187872496
MNXM12014_g,0.00017357454187872496
MNXM12016_g,0.00017357454187872474
MNXM12019_g,0.00017357454187872496
MNXM12021_g,0.00017357454187872496
MNXM12023_g,0.00017357454187872474
MNXM12025_g,0.00017357454187872496
MNXM12026_g,0.00017357454187872474
